MIC,Number of points in cluster,Average correlation score in cluster,Average value of expected correlation
Cluster I,135.0,0.041,0.0
Cluster II,51.0,0.231,0.4
Cluster III,19.0,0.974,0.9
Cluster IV,17.0,0.696,0.9
