absolute correlation score range,pearson,spearman,kendall_tau,dcor,mic,mutual_info,js_distance
"(0, 0.1)",11,0,0,0,0,94,54
"(0.1, 0.3)",0,0,0,0,0,0,3
"(0.3, 0.6)",0,0,0,0,0,0,23
"(0.6, 0.8)",0,0,0,0,0,0,14
"(0.8, 1)",0,0,0,0,0,0,4
