,Pearson,Spearman,Kendall tau,Dcor,MIC,Mutual info,rJSD
Count,223.0,223.0,223.0,223.0,222.0,223.0,223.0
Mean,0.35,0.38,0.32,0.38,0.21,0.12,0.38
Standard deviation,0.35,0.33,0.31,0.33,0.3,0.25,0.35
Minimum,0.0,0.03,0.02,0.03,0.0,0.0,0.0
25%-percentile,0.05,0.08,0.06,0.1,0.02,0.0,0.03
Median,0.18,0.27,0.2,0.26,0.08,0.03,0.35
75%-percentile,0.58,0.53,0.4,0.55,0.24,0.08,0.67
Maximum,1.0,1.0,1.0,1.0,1.0,1.0,1.0
