,left_id,right_id,identifier,pearson,spearman,dcor,mic,kendall_tau,weighted_tau,somers_d,hoeffdings_d,biweight_mid,perc_bend,shepherd,skipped,conditional_entropy,mutual_info,js_divergence,js_distance,mutual_info_sklearn,js_distance_scipy,left_variable,right_variable,var_combination_key,expected_corr
0,1,1,"[soil_temperature, soil_temperature], case01",1.0,0.9999999999999999,1.0,0.9999999876540085,1.0,1.0,1.0,0.9504263819382767,,1.0,1.0,0.9999999999999999,0.9999999999806991,0.9999999999806991,1.0,1.0,1.0,0.0,soil_temperature,soil_temperature,"['soil_temperature', 'soil_temperature']",5
1,1,2,"[soil_temperature, global_radiation], case01",0.34128442357700106,0.27913493048820637,0.32900244955897084,0.1205719007007925,0.20086577499108094,0.5076649448687324,0.17853626563838468,0.02234900399423201,0.06927228576833132,0.31596497776788357,0.21623764189818084,0.14448028233207877,0.034579183197233854,0.045767056431692134,0.3601859766595741,0.20011624385763027,0.5750478893886782,0.7565700637338528,soil_temperature,global_radiation,"['global_radiation', 'soil_temperature']",0
2,1,3,"[soil_temperature, relative_humidity], case01",-0.33071658257785436,-0.2959406194207866,0.29701829342018354,0.08827597196393075,-0.20135952512280159,-0.1785356549438338,-0.2008183149460298,0.025450430417733722,-0.3143465671137241,-0.2887652430182144,-0.2738169571447224,-0.25720993003404136,0.034060805934368776,0.034060805934368776,0.02753248080921744,0.013862322395710058,0.35771506178011325,0.8280097538095569,soil_temperature,relative_humidity,"['relative_humidity', 'soil_temperature']",0
3,1,4,"[soil_temperature, air_temperature], case01",0.8825527056448884,0.8946497485241344,0.8726795199797269,0.6230515171057087,0.7082825152057457,0.8772288773223524,0.7085323003521583,0.41009100173369584,0.8907310757810029,0.8928581520458284,0.9004618996924783,0.8963436004502605,0.23037979436058498,0.23037979436058503,0.9387475323909231,0.752507641311743,0.5204502574754761,0.2837911135652101,soil_temperature,air_temperature,"['air_temperature', 'soil_temperature']",3
4,1,5,"[soil_temperature, precipitation], case01",0.0161173001260484,-0.03960667288419755,0.03865997680849087,0.026354171427091035,-0.03175768269919428,-0.04550767305110784,-0.012893821730248497,9.444614083887661e-05,,-0.024210379670287524,-0.05759012803030791,0.012895132196563405,0.0,0.0,0.18585317282498115,0.09769914819112646,0.2539535530161961,0.7996498129451806,soil_temperature,precipitation,"['precipitation', 'soil_temperature']",0
5,1,6,"[soil_temperature, wind_speed], case01",-0.15684327917028154,-0.1138546258431437,0.15969565526981705,0.04720024286230478,-0.07626575587645293,-0.0039018152216009766,-0.0758534817482668,0.005690202391594415,-0.12383905248898085,-0.11827813483936639,-0.09117408845929571,-0.06890714140689072,0.020411072049587475,0.021186208840962575,0.47774720286406036,0.27732939928627254,0.4029453448818593,0.7132834406867148,soil_temperature,wind_speed,"['soil_temperature', 'wind_speed']",0
6,1,7,"[soil_temperature, soil_temperature], case01",0.9210159516638307,0.9410013754436309,0.9275110119444951,0.7613261469969044,0.7879756867188106,0.8954205153503099,0.7868347913923653,0.5478216119239032,0.9336547588663886,0.9446179264980163,0.9466019339545957,0.9501952880860904,0.33179715031184787,0.3317971503118478,0.922237029650665,0.7211398731454512,0.5078187263007211,0.5418526731743118,soil_temperature,soil_temperature,"['soil_temperature', 'soil_temperature']",4
7,1,10,"[soil_temperature, global_radiation], case01",0.30268634905976993,0.2438365915425004,0.29288620321770786,0.09147179035670452,0.1780287521921612,0.4884834999237885,0.1519393234346133,0.01643204433618168,,0.2808750854645094,0.18681749565941924,0.11755390435916087,0.040345582289486814,0.05216839003083088,0.38410731421709343,0.2152116936505064,0.51727339628618,0.8293562239642247,soil_temperature,global_radiation,"['global_radiation', 'soil_temperature']",0
8,1,11,"[soil_temperature, relative_humidity], case01",-0.32255105272233403,-0.292877149759716,0.29671330755217623,0.11682680071956811,-0.19758146821797895,-0.4885139730584054,-0.19758507252489785,0.025461489378067727,-0.3148047658406276,-0.29150496736218756,-0.27351251571023116,-0.2458701926365318,0.04145337137429694,0.04145337137429695,0.020333553929648085,0.010218990851839083,0.48738769232742185,0.8289743208159306,soil_temperature,relative_humidity,"['relative_humidity', 'soil_temperature']",0
9,1,12,"[soil_temperature, relative_humidity], case01",-0.3248538656782791,-0.29244989919233516,0.2977316770056451,0.09924601842123056,-0.19935262991135305,-0.18157421211677272,-0.19739589540949404,0.025465083337790965,-0.31709994935899144,-0.29157163026738203,-0.2730311760908528,-0.2464224700721802,0.041509871337688464,0.0415098713376885,0.01930524846735482,0.00969966599387373,0.3119856649464486,0.8306311298991516,soil_temperature,relative_humidity,"['relative_humidity', 'soil_temperature']",0
10,1,15,"[soil_temperature, air_temperature], case01",0.8828858548837235,0.8939041885657841,0.876325998209506,0.6176768207396905,0.7051867528032459,0.8718143716690092,0.7047970635093079,0.4113010867679183,0.8899913705412276,0.8954461721644275,0.8990535880351634,0.8950646239452218,0.24920760769911532,0.24920760769911535,0.9255331375589715,0.7271138287838159,0.4712341457345264,0.5425481698477476,soil_temperature,air_temperature,"['air_temperature', 'soil_temperature']",3
11,1,16,"[soil_temperature, air_temperature], case01",0.8837823725096979,0.8949796588119174,0.8776467328850586,0.6209426879797912,0.7066611082014966,0.870430849774467,0.7062742097064325,0.4139585727135489,0.8917948769792154,0.8965638496038935,0.8998840912524088,0.8959483146770907,0.24943714721724686,0.24943714721724689,0.9236345825757644,0.7236570655431269,0.4711375227332237,0.5425276866224924,soil_temperature,air_temperature,"['air_temperature', 'soil_temperature']",3
