Pearson,Number of points in cluster,Average correlation score in cluster,Average value of expected correlation
Cluster I,115.0,0.06,0.0
Cluster II,23.0,0.291,0.2
Cluster III,45.0,0.574,0.4
Cluster IV,40.0,0.969,0.9
