rJSD,Number of points in cluster,Average correlation score in cluster,Average value of expected correlation
Cluster I,90.0,0.02,0.0
Cluster II,35.0,0.321,0.3
Cluster III,74.0,0.65,0.3
Cluster IV,24.0,0.987,0.9
