Kendall tau,Number of points in cluster,Average correlation score in cluster,Average value of expected correlation
Cluster I,85.0,0.055,0.0
Cluster II,49.0,0.205,0.1
Cluster III,44.0,0.374,0.4
Cluster IV,45.0,0.877,0.8
