Dcor,Number of points in cluster,Average correlation score in cluster,Average value of expected correlation
Cluster I,113.0,0.11,0.0
Cluster II,22.0,0.321,0.2
Cluster III,48.0,0.56,0.4
Cluster IV,40.0,0.965,0.9
